id,label,conversation
17,Positive,"العميل: كل شي تمام، البطاقة وصلت وشغالة.
الموظف: الحمدلله، إذا احتجت شي إحنا موجودين."
18,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
19,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
20,Positive,"العميل: أشكركم على المتابعة السريعة، استلمت البطاقة دون مشاكل.
الموظف: شكراً لثقتك بنا، نتمنى لك يوماً سعيداً."
21,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
22,Positive,"العميل: كل شي تمام، البطاقة وصلت وشغالة.
الموظف: الحمدلله، إذا احتجت شي إحنا موجودين."
23,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
24,Neutral,"العميل: ما هي الخطوات المطلوبة لتفعيل البطاقة؟
الموظف: فقط اتصل على الرقم الموجود خلف البطاقة وسيتم التفعيل تلقائيًا."
25,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
26,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
27,Positive,"العميل: البطاقة وصلتني في وقت قياسي، أنتم الأفضل.
الموظف: هذا من دواعي سرورنا، نسعد بخدمتك دائمًا."
28,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
29,Positive,"العميل: البطاقة وصلتني في وقت قياسي، أنتم الأفضل.
الموظف: هذا من دواعي سرورنا، نسعد بخدمتك دائمًا."
30,Negative,"العميل: لي شهر أراجع وما صار شي.
الموظف: حنراجع المشكلة ونتواصل معك بأقرب وقت."
31,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
32,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
33,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
34,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
35,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
36,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
37,Neutral,"العميل: ما هي الخطوات المطلوبة لتفعيل البطاقة؟
الموظف: فقط اتصل على الرقم الموجود خلف البطاقة وسيتم التفعيل تلقائيًا."
38,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
39,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
40,Positive,"العميل: أشكركم على المتابعة السريعة، استلمت البطاقة دون مشاكل.
الموظف: شكراً لثقتك بنا، نتمنى لك يوماً سعيداً."
41,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
42,Neutral,"العميل: هل تم إرسال البطاقة عبر البريد أم عن طريق شركة توصيل؟
الموظف: تم إرسالها عبر شركة توصيل مع إشعار بالاستلام."
43,Negative,"العميل: ما عاد بدي البطاقة إذا هيك التأخير.
الموظف: نعتذر، ونفهم سبب استيائك."
44,Negative,"العميل: ما عاد بدي البطاقة إذا هيك التأخير.
الموظف: نعتذر، ونفهم سبب استيائك."
45,Negative,"العميل: هذه ثالث مرة أتواصل معكم لنفس المشكلة.
الموظف: نأسف جدًا، نقدر انزعاجك وسنتابع الأمر فورًا."
46,Neutral,"العميل: متى تقريبا توصل البطاقة؟
الموظف: خلال 3 أيام عمل بالكثير."
47,Neutral,"العميل: هل تم إرسال البطاقة عبر البريد أم عن طريق شركة توصيل؟
الموظف: تم إرسالها عبر شركة توصيل مع إشعار بالاستلام."
48,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
49,Positive,"العميل: البطاقة وصلتني في وقت قياسي، أنتم الأفضل.
الموظف: هذا من دواعي سرورنا، نسعد بخدمتك دائمًا."
50,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
51,Negative,"العميل: تأخير البطاقة سبب لي إرباك في تعاملاتي المالية.
الموظف: نتفهم تمامًا، وسيتم تعويضك عند استلام البطاقة."
52,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
53,Neutral,"العميل: هل تم إرسال البطاقة عبر البريد أم عن طريق شركة توصيل؟
الموظف: تم إرسالها عبر شركة توصيل مع إشعار بالاستلام."
54,Neutral,"العميل: البطاقة الجديدة نفس رقم القديمة؟
الموظف: لا، بيكون فيها رقم جديد حفاظًا على الأمان."
55,Negative,"العميل: هذه ثالث مرة أتواصل معكم لنفس المشكلة.
الموظف: نأسف جدًا، نقدر انزعاجك وسنتابع الأمر فورًا."
56,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
57,Negative,"العميل: هذه ثالث مرة أتواصل معكم لنفس المشكلة.
الموظف: نأسف جدًا، نقدر انزعاجك وسنتابع الأمر فورًا."
58,Neutral,"العميل: متى تقريبا توصل البطاقة؟
الموظف: خلال 3 أيام عمل بالكثير."
59,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
60,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
61,Negative,"العميل: تأخير البطاقة سبب لي إرباك في تعاملاتي المالية.
الموظف: نتفهم تمامًا، وسيتم تعويضك عند استلام البطاقة."
62,Neutral,"العميل: هل تم إرسال البطاقة عبر البريد أم عن طريق شركة توصيل؟
الموظف: تم إرسالها عبر شركة توصيل مع إشعار بالاستلام."
63,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
64,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
65,Negative,"العميل: هذه ثالث مرة أتواصل معكم لنفس المشكلة.
الموظف: نأسف جدًا، نقدر انزعاجك وسنتابع الأمر فورًا."
66,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
67,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
68,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
69,Positive,"العميل: كل شي تمام، البطاقة وصلت وشغالة.
الموظف: الحمدلله، إذا احتجت شي إحنا موجودين."
70,Negative,"العميل: تأخير البطاقة سبب لي إرباك في تعاملاتي المالية.
الموظف: نتفهم تمامًا، وسيتم تعويضك عند استلام البطاقة."
71,Neutral,"العميل: البطاقة الجديدة نفس رقم القديمة؟
الموظف: لا، بيكون فيها رقم جديد حفاظًا على الأمان."
72,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
73,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
74,Negative,"العميل: تأخير البطاقة سبب لي إرباك في تعاملاتي المالية.
الموظف: نتفهم تمامًا، وسيتم تعويضك عند استلام البطاقة."
75,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
76,Neutral,"العميل: ما هي الخطوات المطلوبة لتفعيل البطاقة؟
الموظف: فقط اتصل على الرقم الموجود خلف البطاقة وسيتم التفعيل تلقائيًا."
77,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
78,Neutral,"العميل: البطاقة وين بتتوصل؟ عالبيت ولا الفرع؟
الموظف: عالبيت إن شاء الله، بيجيك اتصال وقت التوصيل."
79,Negative,"العميل: لي شهر أراجع وما صار شي.
الموظف: حنراجع المشكلة ونتواصل معك بأقرب وقت."
80,Positive,"العميل: تلقيت بطاقتي الجديدة اليوم وكل شيء يعمل بشكل رائع.
الموظف: ممتاز! هل ترغب بتفعيلها الآن؟
العميل: نعم، وتم التفعيل، شكرًا جزيلًا."
81,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
82,Neutral,"العميل: متى تقريبا توصل البطاقة؟
الموظف: خلال 3 أيام عمل بالكثير."
83,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
84,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
85,Negative,"العميل: ما عاد بدي البطاقة إذا هيك التأخير.
الموظف: نعتذر، ونفهم سبب استيائك."
86,Negative,"العميل: ما عاد بدي البطاقة إذا هيك التأخير.
الموظف: نعتذر، ونفهم سبب استيائك."
87,Positive,"العميل: أشكركم على المتابعة السريعة، استلمت البطاقة دون مشاكل.
الموظف: شكراً لثقتك بنا، نتمنى لك يوماً سعيداً."
88,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
89,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
90,Positive,"العميل: البطاقة وصلتني في وقت قياسي، أنتم الأفضل.
الموظف: هذا من دواعي سرورنا، نسعد بخدمتك دائمًا."
91,Positive,"العميل: والله وصلت البطاقة بسرعة، يعطيكم العافية.
الموظف: تسلم، أهم شي راحتك."
92,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
93,Positive,"العميل: أشكركم على المتابعة السريعة، استلمت البطاقة دون مشاكل.
الموظف: شكراً لثقتك بنا، نتمنى لك يوماً سعيداً."
94,Positive,"العميل: كل شي تمام، البطاقة وصلت وشغالة.
الموظف: الحمدلله، إذا احتجت شي إحنا موجودين."
95,Neutral,"العميل: هل بإمكاني استلام البطاقة من الفرع مباشرة؟
الموظف: نعم، البطاقة متوفرة حاليًا في الفرع."
96,Negative,"العميل: ما عاد بدي البطاقة إذا هيك التأخير.
الموظف: نعتذر، ونفهم سبب استيائك."
97,Negative,"العميل: تأخير البطاقة سبب لي إرباك في تعاملاتي المالية.
الموظف: نتفهم تمامًا، وسيتم تعويضك عند استلام البطاقة."
98,Positive,"العميل: شكرًا على تعاونكم، فعلاً خدمة ممتازة.
الموظف: هاد واجبنا، أي خدمة إحنا حاضرين."
99,Negative,"العميل: تأخرتوا كثير، متى بتوصل البطاقة؟
الموظف: آسف، راح أشيك حالًا وأرد عليك."
100,Negative,"العميل: لم تصلني البطاقة رغم مرور أسبوعين على الطلب.
الموظف: نعتذر عن التأخير، سنراجع حالًا ونوافيك بالتحديث."
101,Neutral,"العميل: هل الربط يتطلب وجود رصيد في البطاقة؟
الموظف: لا، يمكن الربط حتى دون رصيد."
102,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
103,Negative,"العميل: لم أتمكن من ربط البطاقة رغم اتباع التعليمات.
الموظف: دعنا نتحقق مع الفريق التقني ونتواصل معك فورًا."
104,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
105,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
106,Neutral,"العميل: هل الربط يتطلب وجود رصيد في البطاقة؟
الموظف: لا، يمكن الربط حتى دون رصيد."
107,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
108,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
109,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
110,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
111,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
112,Positive,"العميل: ربطت البطاقة بمحفظتي الرقمية وكل شيء يعمل بشكل ممتاز.
الموظف: ممتاز، إذا احتجت أي دعم إضافي نحن جاهزون."
113,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
114,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
115,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
116,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
117,Positive,"العميل: ربطت البطاقة بمحفظتي الرقمية وكل شيء يعمل بشكل ممتاز.
الموظف: ممتاز، إذا احتجت أي دعم إضافي نحن جاهزون."
118,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
119,Neutral,"العميل: هل يمكنني ربط البطاقة بأكثر من حساب؟
الموظف: نعم، يمكنك ربطها بما يصل إلى 3 حسابات إلكترونية."
120,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
121,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
122,Neutral,"العميل: هل يمكنني ربط البطاقة بأكثر من حساب؟
الموظف: نعم، يمكنك ربطها بما يصل إلى 3 حسابات إلكترونية."
123,Positive,"العميل: ربطت البطاقة بحسابي تمام، يعطيكم العافية.
الموظف: تسلم، أهم شي الأمور تمام."
124,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
125,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
126,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
127,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
128,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
129,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
130,Positive,"العميل: ربطت البطاقة بمحفظتي الرقمية وكل شيء يعمل بشكل ممتاز.
الموظف: ممتاز، إذا احتجت أي دعم إضافي نحن جاهزون."
131,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
132,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
133,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
134,Neutral,"العميل: هل يمكنني ربط البطاقة بأكثر من حساب؟
الموظف: نعم، يمكنك ربطها بما يصل إلى 3 حسابات إلكترونية."
135,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
136,Neutral,"العميل: هل الربط يتطلب وجود رصيد في البطاقة؟
الموظف: لا، يمكن الربط حتى دون رصيد."
137,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
138,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
139,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
140,Positive,"العميل: ربطت البطاقة بمحفظتي الرقمية وكل شيء يعمل بشكل ممتاز.
الموظف: ممتاز، إذا احتجت أي دعم إضافي نحن جاهزون."
141,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
142,Neutral,"العميل: ما هي طريقة ربط البطاقة بتطبيق البنك؟
الموظف: من خلال الدخول للتطبيق ثم قسم البطاقات، ستجد خيار الربط."
143,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
144,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
145,Neutral,"العميل: هل يمكنني ربط البطاقة بأكثر من حساب؟
الموظف: نعم، يمكنك ربطها بما يصل إلى 3 حسابات إلكترونية."
146,Positive,"العميل: ربطت البطاقة بحسابي تمام، يعطيكم العافية.
الموظف: تسلم، أهم شي الأمور تمام."
147,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
148,Neutral,"العميل: لازم يكون في رصيد عشان أربط البطاقة؟
الموظف: مو لازم، تقدر تربطها بدون رصيد."
149,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
150,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
151,Negative,"العميل: لم أتمكن من ربط البطاقة رغم اتباع التعليمات.
الموظف: دعنا نتحقق مع الفريق التقني ونتواصل معك فورًا."
152,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
153,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
154,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
155,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
156,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
157,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
158,Negative,"العميل: لم أتمكن من ربط البطاقة رغم اتباع التعليمات.
الموظف: دعنا نتحقق مع الفريق التقني ونتواصل معك فورًا."
159,Neutral,"العميل: أقدر أربط البطاقة بحساب ثاني؟
الموظف: تقدر، بس لازم الحساب يكون باسمك."
160,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
161,Neutral,"العميل: ما هي طريقة ربط البطاقة بتطبيق البنك؟
الموظف: من خلال الدخول للتطبيق ثم قسم البطاقات، ستجد خيار الربط."
162,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
163,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
164,Neutral,"العميل: ما هي طريقة ربط البطاقة بتطبيق البنك؟
الموظف: من خلال الدخول للتطبيق ثم قسم البطاقات، ستجد خيار الربط."
165,Neutral,"العميل: هل يمكنني ربط البطاقة بأكثر من حساب؟
الموظف: نعم، يمكنك ربطها بما يصل إلى 3 حسابات إلكترونية."
166,Positive,"العميل: الحمدلله ربطت البطاقة واشتغلت فورًا.
الموظف: خبر ممتاز! بالتوفيق دومًا."
167,Positive,"العميل: الحمدلله ربطت البطاقة واشتغلت فورًا.
الموظف: خبر ممتاز! بالتوفيق دومًا."
168,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
169,Neutral,"العميل: أقدر أربط البطاقة بحساب ثاني؟
الموظف: تقدر، بس لازم الحساب يكون باسمك."
170,Positive,"العميل: شكرًا على المساعدة، تم الربط بدون مشاكل.
الموظف: نورتنا، لا تتردد بالتواصل معنا عند الحاجة."
171,Neutral,"العميل: هل الربط يتطلب وجود رصيد في البطاقة؟
الموظف: لا، يمكن الربط حتى دون رصيد."
172,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
173,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
174,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
175,Neutral,"العميل: ما هي طريقة ربط البطاقة بتطبيق البنك؟
الموظف: من خلال الدخول للتطبيق ثم قسم البطاقات، ستجد خيار الربط."
176,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
177,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
178,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
179,Negative,"العميل: حاولت ربط البطاقة لكن تظهر لي رسالة خطأ.
الموظف: نأسف للإزعاج، سنساعدك حالًا بحل المشكلة."
180,Positive,"العميل: سويت الربط من أول مرة، كل شي سلس.
الموظف: ممتاز، أي شي تحتاجه إحنا معك."
181,Negative,"العميل: لم أتمكن من ربط البطاقة رغم اتباع التعليمات.
الموظف: دعنا نتحقق مع الفريق التقني ونتواصل معك فورًا."
182,Neutral,"العميل: كيف أربط البطاقة بتطبيق الجوال؟
الموظف: من الإعدادات تلاقي خيار ربط بطاقة."
183,Negative,"العميل: جربت أكثر من مرة وما ضبط الربط.
الموظف: نعتذر، وراح نوصل المشكلة للفريق المختص."
184,Positive,"العميل: ربطت البطاقة بمحفظتي الرقمية وكل شيء يعمل بشكل ممتاز.
الموظف: ممتاز، إذا احتجت أي دعم إضافي نحن جاهزون."
185,Neutral,"العميل: لازم يكون في رصيد عشان أربط البطاقة؟
الموظف: مو لازم، تقدر تربطها بدون رصيد."
186,Negative,"العميل: حاولت أربط البطاقة بس ما زبطت.
الموظف: آسف على هالشي، خليني أساعدك بخطوة بخطوة."
187,Positive,"العميل: تم ربط البطاقة مع التطبيق بسهولة، شكرًا لكم.
الموظف: سعداء بسماع ذلك، نحن دائمًا في خدمتك."
188,Negative,"العميل: خدمة الربط لا تعمل عندي منذ صباح اليوم.
الموظف: نعتذر عن العطل، جارٍ العمل على إصلاحه."
189,Negative,"العميل: مو راضية البطاقة تنربط بالمحفظة.
الموظف: بنشيك لك على المشكلة حالًا."
190,Neutral,"العميل: ما هي طريقة ربط البطاقة بتطبيق البنك؟
الموظف: من خلال الدخول للتطبيق ثم قسم البطاقات، ستجد خيار الربط."
